Code_commune;type_maison;type_appartement;type_autres
71072;84;2;
22107;868;37;7
71073;1598;1293;5
71070;825;299;4
09129;189;4;1
10129;130;;
71071;173;5;1
09128;151;19;3
09127;79;2;1
95040;354;25;
09126;116;1;
09125;405;19;4
09124;504;79;2
09123;62;1;
09122;3250;2897;151
10122;133;3;
83067;1799;583;49
09121;364;28;
10121;151;1;
83066;809;117;24
09120;183;7;4
10124;115;2;
83069;4091;12380;385
10123;475;118;3
83068;4220;3173;675
10126;69;;
83063;1373;444;19
10125;127;;
83062;1641;3443;236
10128;50;2;
83065;2601;907;220
10127;35;;
83064;2480;257;13
22119;437;1;17
83050;3120;4994;86
95039;2549;569;15
10131;171;2;1
10130;47;;
22111;351;5;1
71089;144;3;
22112;234;4;1
22113;2839;1728;45
71087;145;2;
22114;521;13;
71088;128;;
22115;343;3;2
71085;148;3;
22116;578;5;3
71086;242;5;
22117;773;19;
22118;1897;267;4
71084;261;10;
09119;304;8;
71081;833;300;5
09118;130;3;1
71082;111;2;
09117;54;2;1
09116;202;12;2
71080;61;7;
09115;76;;
09114;121;4;4
83059;1198;192;10
09113;618;12;12
22110;235;1;1
09111;220;23;
10133;151;;1
83056;1298;142;5
09110;68;;2
10132;127;1;
83055;2846;830;97
10135;62;;3
83058;2111;665;25
10134;40;1;
83057;1534;297;10
10137;22;;
83052;242;36;
10136;81;3;2
83051;828;87;4
10139;82;1;1
83054;2603;1620;66
10138;66;1;1
83053;991;142;5
83081;3119;530;42
83080;796;64;2
83083;748;123;1
83082;249;220;79
71098;195;6;
71099;154;1;
71096;142;6;1
95063;1251;3642;86
71097;335;11;1
71094;120;1;2
71095;262;10;
10108;59;1;
71092;265;10;1
10107;64;1;
71093;434;16;7
95060;2139;882;59
71090;1410;299;8
95061;176;3;
09149;247;2;
10109;125;;1
71091;140;1;
09148;98;5;
09147;71;1;1
09146;33;5;
09145;112;4;
10100;491;10;13
83089;284;44;3
09143;72;7;
83088;1191;162;7
09142;86;;
10102;96;1;
09141;89;;
10101;82;2;
09140;158;40;3
10104;131;;
83085;1432;445;6
10103;81;1;
83084;480;59;30
10106;80;1;2
83087;1921;361;9
10105;11;;
83086;3231;1667;564
83070;2550;9032;134
83072;4386;1480;61
83071;4643;5690;181
95056;729;105;6
95058;763;143;16
95059;138;8;
95052;1905;2423;94
95054;93;3;
95055;160;20;1
10119;169;2;1
10118;63;1;1
09139;58;57;
09138;107;3;4
95051;2571;1185;47
09137;69;2;
09136;180;8;
09134;86;5;
09133;52;1;
10111;80;;3
83078;311;12;5
09132;122;7;1
10110;213;10;
83077;912;204;7
09131;120;6;1
10113;132;4;
09130;474;19;
10112;125;1;1
83079;592;228;10
10115;840;68;
83074;210;12;1
10114;369;34;1
83073;2435;1534;29
10117;57;15;2
83076;459;47;18
10116;136;;
83075;379;61;4
95088;260;195;5
83092;1809;428;10
83091;2193;591;22
83094;1902;416;29
83093;806;270;12
83090;1587;1085;9
95078;603;139;5
95074;313;29;3
83099;2339;1954;118
83096;577;118;6
83095;450;41;8
83098;1105;1894;105
83097;1932;300;9
09109;70;6;34
09108;156;5;2
09107;386;18;3
09106;174;11;
09105;571;26;6
09104;373;10;
09103;378;21;1
09102;96;1;
09101;128;9;
09100;203;82;
95094;95;31;4
95091;1602;842;11
09092;102;2;
10081;734;1344;16
09091;146;7;2
10080;442;125;
09090;24;;
10083;167;2;
10082;110;;
10085;30;20;
46038;697;139;1
10084;439;7;2
46039;151;11;2
10087;32;;
46036;93;4;
10086;98;1;2
46037;84;34;
22067;1239;45;11
34056;645;63;206
58023;165;2;
22068;218;23;5
34055;221;12;
22069;147;7;
34054;101;4;3
58025;91;8;
34053;77;1;
58024;246;1;2
34052;1559;267;6
34051;1407;93;9
34050;576;151;11
58021;141;1;5
58020;129;1;1
22060;361;13;1
22061;1006;30;5
22062;349;8;2
22063;333;11;3
58027;100;1;1
22064;388;73;4
34059;237;34;1
58026;170;4;
22065;869;30;6
34058;2325;687;13
58029;75;2;1
34057;990;3406;45
58028;82;1;
09089;26;2;2
10089;328;1;1
46034;198;2;1
09088;23;;
46035;112;3;
09087;93;8;
46032;242;2;2
09086;162;14;1
46033;440;13;9
09085;301;89;
46030;195;4;2
09084;72;2;2
46031;136;2;
09083;20;;2
09082;328;26;2
09081;111;5;
10092;63;;
71009;753;15;1
09080;98;4;2
10091;71;;
10094;336;11;1
46029;904;273;3
71007;116;3;2
10093;48;2;1
71008;106;1;
10096;262;1;1
46027;101;1;
71005;146;;1
10095;136;4;
46028;665;22;3
71006;111;;
10098;205;;7
71003;361;33;2
10097;113;3;
46026;114;2;
71004;488;10;
34045;319;26;2
58034;175;5;
71001;377;2;
22079;1020;36;
34044;271;17;1
58033;270;3;2
71002;488;6;
34043;143;19;
58036;412;7;
34042;426;23;7
58035;219;1;
34041;353;25;2
58030;266;;
34040;44;2;
10090;113;1;
58032;293;18;
58031;207;1;1
22070;1872;3224;33
22071;392;3;
22072;248;3;1
22073;212;;4
22074;379;1;3
34049;201;24;
58038;87;5;
22075;325;22;2
34048;130;17;
58037;592;14;3
22076;746;38;3
34047;319;40;
09079;444;42;11
22077;591;9;1
34046;139;10;2
58039;223;;1
09078;120;8;
46023;339;3;
09077;177;4;35
10099;306;2;5
46024;240;3;1
09076;105;4;
46021;414;12;1
09075;189;9;2
46022;208;2;2
09074;181;10;1
09073;106;4;5
46020;197;5;7
09072;26;2;
09071;156;11;2
10061;338;3;1
46018;122;4;1
71018;313;6;
10060;980;364;3
71019;78;2;
10063;197;7;3
46016;240;10;
71016;525;63;3
10062;99;1;
46017;98;5;
71017;58;;1
10065;45;;
71014;1096;2112;46
10064;968;489;51
46015;731;117;1
71015;461;8;
22045;193;;1
34034;41;1;
58045;173;2;
71012;209;5;2
22046;3568;271;22
34033;805;109;4
58044;489;9;3
71013;166;5;
22047;569;55;
34032;6268;12321;106
58047;498;22;3
71010;436;9;
22048;1195;43;4
34031;2229;441;196
58046;907;227;7
71011;244;3;
22049;857;25;8
34030;183;10;2
58041;156;8;
58040;128;;
58043;53;;1
58042;109;1;2
83009;3045;8617;88
83008;1490;368;28
22040;276;1;
34039;801;225;7
22041;134;1;1
34038;768;345;2
58049;101;;
83005;323;10;2
22042;253;7;
34037;1239;464;3
58048;124;2;
83004;2631;1250;89
22043;153;3;
34036;690;63;3
83007;1297;518;5
22044;729;10;3
34035;458;20;4
83006;136;9;4
10067;763;91;6
46012;387;32;4
83001;1310;154;8
10066;200;2;
46013;147;2;1
10069;60;1;1
46010;208;2;2
83003;664;79;32
10068;77;6;
46011;260;6;2
83002;242;74;9
10070;288;;1
46009;378;44;
10072;19;;
46007;503;18;6
58050;64;;
71029;195;15;
10071;38;;
46008;187;2;1
10074;248;5;
46005;223;9;
71027;323;52;4
10073;79;;
46006;234;4;5
71028;66;2;
10076;191;;
46003;518;66;
71025;246;10;
10075;67;;
46004;133;2;1
71026;165;6;
22056;879;49;3
34023;2427;5202;15
58056;154;2;
71023;473;5;
22057;237;7;
34022;2468;1149;6
58055;440;11;25
71024;234;7;3
34021;229;9;2
58058;357;5;
71021;147;4;
22059;592;10;1
34020;313;4;1
58057;629;24;4
71022;325;12;2
58052;63;1;
58051;680;46;5
71020;81;1;
58054;60;;
58053;305;6;1
22050;2011;2228;76
34029;308;21;1
34028;2058;2026;18
22052;280;8;
34027;752;151;3
22053;418;5;7
34026;160;19;2
58059;1895;1208;13
22054;3820;1006;295
34025;934;106;2
22055;4362;1090;52
34024;1040;192;32
10078;14;3;
46001;366;23;1
09099;186;13;5
10077;44;;
46002;35;5;
09098;47;1;
09097;63;11;
10079;79;;
09096;58;9;
09095;126;9;
09094;95;;
09093;102;8;
58061;124;1;2
58060;379;3;
10041;37;1;1
71038;205;4;
10040;116;4;
71039;135;3;1
10043;65;;
71036;86;2;
10042;200;1;2
71037;80;2;
95008;281;99;1
22023;327;1;1
34012;457;40;6
58067;762;14;3
71034;189;3;
22024;179;4;
34011;72;10;1
58066;100;6;
71035;114;3;
95002;421;46;3
22025;1387;176;4
34010;1230;306;28
58069;101;2;
71032;305;34;
22026;341;3;3
58068;392;16;6
71033;374;5;1
22027;293;19;
58063;421;15;2
71030;108;39;2
22028;452;27;2
58062;715;515;
71031;36;2;
22029;266;7;
58065;571;118;4
58064;473;20;3
34019;363;224;4
34018;543;33;
34017;275;21;1
09049;129;5;1
34016;265;28;2
83027;2987;359;82
09048;48;3;1
22020;1312;204;3
34015;140;16;1
83026;848;202;8
09047;775;84;2
22021;570;12;3
34014;621;79;11
83029;1794;190;14
09046;56;;
34013;764;88;11
83028;920;395;16
09045;155;8;1
10045;94;;
83023;1570;1874;135
09044;102;3;
10044;22;;
83022;31;1;
09043;388;112;30
10047;23;1;
83025;546;221;2
09042;531;104;3
10046;53;;1
09041;124;5;
10049;203;2;
09040;141;;
10048;107;1;
83021;1210;180;10
83020;36;18;
58070;53;1;2
10050;128;1;2
58072;296;6;2
58071;152;;
10052;135;1;1
10051;444;50;
10054;93;;1
71047;2200;900;7
10053;235;2;1
71048;113;4;1
22034;709;19;3
34001;811;70;3
58078;40;1;
71045;114;2;
22035;543;3;1
58077;318;2;3
71046;67;4;
22036;107;;1
71043;61;2;
22037;308;5;1
58079;1499;1288;16
71044;207;5;1
58074;306;7;3
71041;68;7;
22039;306;62;1
58073;94;3;
