Code_commune;surf_moins_30;surf_30_40;surf_40_60;surf_60_80;surf_80_100;surf_100_120;surf_plus_120;surf_hors_res_principale;surf_hors_log_ordinaire
42285;5;20;100;299;557;382;298;142;
42286;1;;7;44;112;93;111;61;
42287;1;11;41;62;110;94;103;196;
42288;1;1;10;39;72;93;77;51;
55502;25;50;121;231;370;207;169;330;
55500;2;2;13;32;87;82;112;49;
55507;1;;5;11;12;27;42;22;
42283;1;9;36;77;131;135;115;46;
55505;11;23;72;171;396;259;197;106;
42284;2;2;20;51;163;176;177;41;
55508;1;;4;10;15;39;53;12;
42278;1;;5;7;17;15;26;40;
42279;12;47;236;450;609;503;637;197;
42275;22;80;355;797;681;340;447;387;
42277;1;1;8;24;40;40;34;45;
30292;1;2;14;37;53;45;44;45;
30294;8;39;117;297;700;556;509;226;
30290;22;20;45;96;209;201;232;185;
30299;2;4;12;25;97;113;248;294;
29298;2;2;17;32;65;74;63;123;
29297;3;10;35;160;344;266;175;91;
30296;1;4;13;20;14;10;18;102;
30295;14;31;100;228;411;289;329;341;
30298;1;2;12;28;51;52;78;127;
30297;2;2;14;19;41;31;11;502;
55511;1;1;5;7;16;9;14;27;
42270;1;2;25;68;118;129;211;74;
29291;1;6;41;83;127;94;87;109;
42271;6;37;180;344;628;339;341;144;
55517;1;2;6;30;69;55;58;41;
29290;1;6;16;30;76;95;60;36;
42272;6;17;77;126;192;153;170;134;
29296;9;23;14;76;123;155;138;107;
29293;17;62;245;430;825;902;916;1588;
55519;2;9;33;148;223;116;102;138;
42268;2;5;25;39;78;86;104;145;
67500;3;8;29;75;125;162;215;78;
67504;3;4;32;68;113;155;169;66;
42265;2;4;15;44;94;88;110;55;
67502;1;;;6;22;28;28;10;
30281;1;16;43;72;221;152;128;60;
67507;12;23;115;156;152;172;192;117;
30280;1;7;20;40;47;33;37;162;
30283;3;3;14;31;25;17;9;160;
30282;1;3;19;31;127;102;68;86;
67506;14;35;247;464;597;610;582;157;
30288;1;23;124;92;124;105;79;91;
55520;2;;6;19;34;39;84;17;
30285;6;6;16;39;80;77;65;89;
30284;22;49;160;450;641;381;264;214;
30287;1;2;15;24;71;69;105;103;
30286;3;3;10;32;112;90;96;140;
55522;1;;1;2;8;8;26;11;
