Date;Code_region;Filiere;Injection_quot
2020-10-16;44;Thermique non renouvelable;28837.549
2020-10-16;32;Eolien;544.9285
2020-10-16;32;Eolien;80.3475
2020-10-17;27;Hydraulique;799.3005
2020-10-17;27;Solaire;34.7555
2020-10-17;44;Thermique non renouvelable;28207.4
2020-10-17;32;Nucléaire;64366.715
2020-10-17;75;Nucléaire;136673.19
2020-10-17;75;Thermique non renouvelable;0.0
2020-10-17;76;Eolien;312.506
2020-10-17;93;Solaire;391.658
2020-10-18;84;Nucléaire;225696.58
2020-10-18;24;Solaire;207.4475
2020-10-18;32;Thermique non renouvelable;0.0
2020-10-18;75;Nucléaire;133535.16
2020-10-18;75;Solaire;1334.578
2020-10-18;93;Bioénergies;966.983
2020-10-19;27;Hydraulique;734.492
2020-10-19;53;Thermique non renouvelable;0.0
2020-10-19;24;Solaire;160.371
2020-10-19;93;Hydraulique;27818.914
2020-10-20;84;Nucléaire;215448.28
2020-10-20;53;Thermique non renouvelable;0.0
2020-10-20;24;Nucléaire;155771.9
2020-10-20;32;Eolien;4012.133
2020-10-20;11;Thermique non renouvelable;0.0
2020-10-20;76;Eolien;3935.738
2020-10-20;93;Solaire;284.5755
2020-10-21;32;Thermique non renouvelable;0.0
2020-10-21;76;Eolien;4702.953
2020-10-21;76;Hydraulique;24093.02
2020-10-21;93;Eolien;425.8625
2020-10-21;93;Solaire;303.0035
2020-10-22;27;Hydraulique;477.868
2020-10-22;32;Nucléaire;62834.73
2020-10-22;11;Thermique non renouvelable;0.0
2020-10-22;28;Nucléaire;120335.26
2020-10-22;75;Thermique non renouvelable;0.0
2020-10-22;76;Hydraulique;28626.31
2020-10-23;84;Nucléaire;222815.8
2020-10-23;32;Eolien;912.0095
2020-10-24;27;Solaire;51.5295
2020-10-24;44;Eolien;834.856
2020-10-24;44;Hydraulique;22232.742
2020-10-24;32;Eolien;3969.463
2020-10-24;32;Thermique non renouvelable;0.0
2020-10-24;76;Hydraulique;25568.725
2020-10-24;93;Bioénergies;833.958
2020-10-25;84;Eolien;242.3025
2020-10-25;27;Solaire;20.3785
2020-10-25;32;Nucléaire;60012.01
2020-10-25;76;Hydraulique;23822.625
2020-10-25;52;Thermique non renouvelable;0.0
2020-10-26;76;Eolien;3555.624
2020-10-27;32;Eolien;3515.9915
2020-10-27;76;Hydraulique;27359.475
2020-10-28;84;Hydraulique;83076.12
2020-10-28;24;Nucléaire;150456.67
2020-10-28;28;Nucléaire;143628.64
2020-10-28;76;Eolien;739.665
2020-10-29;27;Hydraulique;1282.7574
2020-10-29;53;Thermique non renouvelable;0.0
2020-10-29;44;Hydraulique;24414.227
2020-10-29;32;Thermique non renouvelable;0.0
2020-10-29;28;Thermique non renouvelable;0.0
2020-10-30;27;Hydraulique;1320.134
2020-10-30;24;Solaire;39.5875
2020-10-30;44;Hydraulique;25724.225
2020-10-30;32;Eolien;1297.707
2020-10-30;28;Thermique non renouvelable;0.0
2020-10-30;75;Thermique non renouvelable;0.0
2020-10-30;76;Hydraulique;26341.973
2020-10-30;93;Solaire;332.4365
2020-10-31;53;Thermique non renouvelable;0.0
2020-10-31;32;Bioénergies;485.079
2020-10-31;32;Eolien;1365.999
2020-10-31;28;Nucléaire;151206.88
2020-10-31;75;Hydraulique;6771.986
2020-10-31;76;Hydraulique;19191.775
2020-10-31;52;Thermique non renouvelable;0.0
2020-10-31;93;Hydraulique;22815.13
2020-11-01;32;Nucléaire;57451.508
2020-11-01;75;Solaire;789.8565
2020-11-02;32;Eolien;3886.434
2020-11-02;28;Nucléaire;147538.97
2020-11-02;75;Hydraulique;4438.671
2020-11-02;75;Solaire;707.9935
2020-11-03;53;Thermique non renouvelable;0.0
2020-11-03;44;Hydraulique;24470.69
2020-11-03;44;Solaire;121.163
2020-11-03;32;Eolien;3041.862
2020-11-03;32;Nucléaire;72318.75
2020-11-03;32;Thermique non renouvelable;709.3725
2020-11-03;28;Nucléaire;153127.22
2020-11-03;93;Bioénergies;998.7905
2020-11-04;53;Thermique non renouvelable;0.0
2020-11-04;24;Nucléaire;195323.86
2020-11-04;76;Eolien;130.833
2020-11-04;76;Hydraulique;23139.178
2020-11-04;93;Solaire;172.882
2020-11-05;53;Thermique non renouvelable;0.0
2020-11-05;44;Eolien;508.0785
2020-11-05;75;Hydraulique;6220.355
2020-11-06;84;Nucléaire;204775.23
2020-11-06;24;Solaire;194.2465
2020-11-06;44;Hydraulique;22417.965
2020-11-06;44;Solaire;404.807
2020-11-06;75;Solaire;642.459
2020-11-07;84;Hydraulique;49566.742
2020-11-07;24;Eolien;387.507
2020-11-07;24;Solaire;95.4095
2020-11-07;32;Thermique non renouvelable;707.232
2020-11-07;28;Nucléaire;147737.28
2020-11-07;75;Solaire;189.212
2020-11-07;93;Hydraulique;8692.375
2020-11-08;11;Thermique non renouvelable;0.0
2020-11-08;93;Solaire;111.204
2020-11-08;93;Thermique non renouvelable;14575.574
2020-11-09;84;Hydraulique;70904.36
2020-11-09;27;Hydraulique;2018.0804
2020-11-09;11;Thermique non renouvelable;0.0
2020-11-09;75;Hydraulique;10548.441
2020-11-09;93;Thermique non renouvelable;26662.393
2020-11-10;84;Hydraulique;80602.99
2020-11-10;84;Nucléaire;230864.56
2020-11-10;27;Solaire;31.9275
2020-11-10;53;Thermique non renouvelable;0.0
2020-11-10;24;Nucléaire;211145.97
2020-11-10;11;Thermique non renouvelable;0.0
2020-11-10;28;Thermique non renouvelable;1204.1825
2020-11-10;75;Solaire;682.168
2020-11-10;93;Hydraulique;29387.162
2020-11-11;84;Eolien;38.2585
2020-11-11;84;Hydraulique;56800.254
2020-11-11;84;Nucléaire;232514.31
2020-11-11;32;Nucléaire;85846.695
2020-11-11;28;Nucléaire;153579.83
2020-11-11;75;Solaire;873.059
2020-11-11;93;Solaire;345.0475
2020-11-12;84;Hydraulique;56535.137
2020-11-12;27;Hydraulique;984.9605
2020-11-12;32;Eolien;1210.995
2020-11-12;11;Thermique non renouvelable;0.0
2020-11-12;28;Nucléaire;154285.31
2020-11-12;93;Solaire;264.3895
2020-11-13;27;Solaire;87.5
2020-11-13;44;Nucléaire;250514.8
2020-11-13;75;Hydraulique;8667.718
2020-11-13;93;Solaire;231.3565
2020-11-14;27;Solaire;183.24
2020-11-14;24;Solaire;101.037
2020-11-14;32;Eolien;446.7685
2020-11-14;32;Nucléaire;78128.83
2020-11-14;76;Eolien;3372.1855
2020-11-15;32;Eolien;4895.6704
2020-11-15;32;Nucléaire;80629.87
2020-11-15;75;Hydraulique;2598.642
2020-11-15;75;Nucléaire;108769.27
2020-11-15;75;Solaire;286.618
2020-11-15;76;Hydraulique;10997.511
2020-11-15;52;Thermique non renouvelable;0.0
2020-11-15;93;Bioénergies;986.3035
2020-11-16;24;Eolien;1492.3485
2020-11-16;32;Eolien;1642.239
2020-11-16;32;Eolien;2817.148
2020-11-16;28;Nucléaire;133041.55
2020-11-16;76;Eolien;1502.1895
2020-11-16;76;Eolien;3597.949
2020-11-17;24;Eolien;466.302
2020-11-17;24;Solaire;57.9675
2020-11-17;44;Hydraulique;16649.62
2020-11-17;32;Bioénergies;452.787
2020-11-17;32;Nucléaire;96453.42
2020-11-17;75;Hydraulique;7094.417
2020-11-17;75;Thermique non renouvelable;0.0
2020-11-17;76;Hydraulique;21540.281
2020-11-18;53;Thermique non renouvelable;0.0
2020-11-18;32;Eolien;403.9275
2020-11-18;28;Nucléaire;141584.62
2020-11-18;76;Eolien;161.9105
2020-11-19;84;Hydraulique;60157.57
2020-11-19;27;Hydraulique;1219.987
2020-11-19;24;Solaire;149.8545
2020-11-19;44;Eolien;762.2535
2020-11-19;44;Solaire;128.9015
2020-11-19;32;Thermique non renouvelable;709.566
2020-11-19;76;Eolien;4071.74
2020-11-19;76;Eolien;424.4845
2020-11-19;93;Solaire;282.1515
2020-11-20;44;Hydraulique;18908.736
2020-11-20;32;Nucléaire;100377.06
2020-11-20;75;Nucléaire;115264.83
2020-11-20;75;Thermique non renouvelable;0.0
2020-11-20;93;Hydraulique;21934.775
2020-11-21;44;Hydraulique;17296.1
2020-11-21;32;Eolien;1120.719
2020-11-21;76;Hydraulique;12074.281
2020-11-21;93;Hydraulique;14551.015
2020-11-22;44;Solaire;113.1375
2020-11-22;44;Thermique non renouvelable;27467.92
2020-11-22;32;Eolien;431.34
2020-11-22;32;Eolien;115.443
2020-11-22;28;Nucléaire;136353.53
2020-11-22;75;Nucléaire;115863.08
2020-11-22;93;Solaire;281.148
2020-11-22;93;Thermique non renouvelable;27648.342
2020-11-23;27;Solaire;161.2245
2020-11-23;44;Hydraulique;17281.93
2020-11-23;32;Bioénergies;467.532
2020-11-24;53;Thermique non renouvelable;0.0
2020-11-24;24;Solaire;89.9675
2020-11-24;32;Eolien;197.493
2020-11-24;75;Nucléaire;126203.164
2020-11-24;76;Hydraulique;31493.783
2020-11-24;93;Solaire;270.3275
2020-11-25;84;Nucléaire;241693.95
2020-11-25;27;Solaire;107.079
2020-11-25;32;Nucléaire;108149.09
2020-11-25;32;Thermique non renouvelable;710.2125
2020-11-25;28;Nucléaire;140446.19
2020-11-25;76;Eolien;462.6045
2020-11-25;93;Solaire;257.548
2020-11-26;76;Eolien;416.944
2020-11-26;93;Eolien;88.6035
2020-11-26;93;Solaire;261.6935
2020-11-27;84;Eolien;73.664
2020-11-27;27;Hydraulique;2886.905
2020-11-27;24;Nucléaire;222210.75
2020-11-27;28;Thermique non renouvelable;1251.8824
2020-11-27;76;Eolien;926.678
2020-11-27;76;Hydraulique;47424.758
2020-11-28;53;Thermique non renouvelable;0.0
2020-11-28;24;Nucléaire;221321.0
2020-11-28;24;Solaire;74.5665
2020-11-28;44;Nucléaire;221020.98
2020-11-28;28;Thermique non renouvelable;1328.921
2020-11-28;76;Eolien;886.954
2020-11-28;76;Hydraulique;15610.425
2020-11-28;93;Thermique non renouvelable;28839.273
2020-11-29;84;Nucléaire;226766.6
2020-11-29;44;Hydraulique;13428.412
2020-11-29;32;Thermique non renouvelable;687.8755
2020-11-29;28;Nucléaire;145445.52
2020-11-30;24;Nucléaire;226550.11
2020-11-30;32;Nucléaire;109462.25
2020-11-30;32;Thermique non renouvelable;21899.053
2020-11-30;75;Solaire;782.616
2020-11-30;93;Hydraulique;33161.07
2020-11-30;93;Thermique non renouvelable;32977.0
2020-12-01;24;Nucléaire;224875.97
2020-12-01;32;Eolien;3677.775
2020-12-01;32;Nucléaire;96648.41
2020-12-01;11;Thermique non renouvelable;5385.629
2020-12-01;75;Thermique non renouvelable;331.989
2020-12-01;93;Eolien;149.1605
2020-12-02;84;Hydraulique;103630.64
2020-12-02;27;Hydraulique;3176.6394
2020-12-02;32;Thermique non renouvelable;23821.531
2020-12-02;75;Nucléaire;139244.25
2020-12-02;76;Hydraulique;51347.21
2020-12-02;93;Eolien;423.2165
2020-12-03;84;Hydraulique;62292.906
2020-12-03;24;Nucléaire;223187.34
2020-12-03;32;Bioénergies;538.245
2020-12-03;11;Thermique non renouvelable;5399.058
2020-12-03;28;Thermique non renouvelable;1332.4985
2020-12-03;75;Nucléaire;138770.7
2020-12-03;76;Hydraulique;31615.602
2020-12-03;93;Thermique non renouvelable;32635.941
2020-12-04;84;Nucléaire;254168.33
2020-12-04;27;Solaire;30.456
