Date;Jour;Zone_A;Zone_B;Zone_C;Nom_vacances
23-07-2012;Lundi;oui;oui;oui;Été
24-07-2012;Mardi;oui;oui;oui;Été
25-07-2012;Mercredi;oui;oui;oui;Été
26-07-2012;Jeudi;oui;oui;oui;Été
27-07-2012;Vendredi;oui;oui;oui;Été
28-07-2012;Samedi;oui;oui;oui;Été
29-07-2012;Dimanche;oui;oui;oui;Été
30-07-2012;Lundi;oui;oui;oui;Été
31-07-2012;Mardi;oui;oui;oui;Été
01-08-2012;Mercredi;oui;oui;oui;Été
02-08-2012;Jeudi;oui;oui;oui;Été
03-08-2012;Vendredi;oui;oui;oui;Été
04-08-2012;Samedi;oui;oui;oui;Été
05-08-2012;Dimanche;oui;oui;oui;Été
06-08-2012;Lundi;oui;oui;oui;Été
07-08-2012;Mardi;oui;oui;oui;Été
08-08-2012;Mercredi;oui;oui;oui;Été
09-08-2012;Jeudi;oui;oui;oui;Été
10-08-2012;Vendredi;oui;oui;oui;Été
11-08-2012;Samedi;oui;oui;oui;Été
12-08-2012;Dimanche;oui;oui;oui;Été
13-08-2012;Lundi;oui;oui;oui;Été
14-08-2012;Mardi;oui;oui;oui;Été
15-08-2012;Mercredi;oui;oui;oui;Été
16-08-2012;Jeudi;oui;oui;oui;Été
17-08-2012;Vendredi;oui;oui;oui;Été
18-08-2012;Samedi;oui;oui;oui;Été
19-08-2012;Dimanche;oui;oui;oui;Été
20-08-2012;Lundi;oui;oui;oui;Été
21-08-2012;Mardi;oui;oui;oui;Été
22-08-2012;Mercredi;oui;oui;oui;Été
23-08-2012;Jeudi;oui;oui;oui;Été
24-08-2012;Vendredi;oui;oui;oui;Été
25-08-2012;Samedi;oui;oui;oui;Été
26-08-2012;Dimanche;oui;oui;oui;Été
27-08-2012;Lundi;oui;oui;oui;Été
28-08-2012;Mardi;oui;oui;oui;Été
29-08-2012;Mercredi;oui;oui;oui;Été
30-08-2012;Jeudi;oui;oui;oui;Été
31-08-2012;Vendredi;oui;oui;oui;Été
01-09-2012;Samedi;oui;oui;oui;Été
02-09-2012;Dimanche;oui;oui;oui;Été
03-09-2012;Lundi;oui;oui;oui;Été
04-09-2012;Mardi; ; ; ;
05-09-2012;Mercredi; ; ; ;
06-09-2012;Jeudi; ; ; ;
07-09-2012;Vendredi; ; ; ;
08-09-2012;Samedi; ; ; ;
09-09-2012;Dimanche; ; ; ;
10-09-2012;Lundi; ; ; ;
11-09-2012;Mardi; ; ; ;
